XXXX;20h40.0m;+41°00';Crux;DN;-;480'-300';Northern Coalsack
NGC7008;21h00.5m;+54°33';Crux;Planetary Nebula;9.9;98'-75';Coat Button Nebula
NGC7027;21h07.0m;+42°14';Crux;Planetary Nebula;8.5;18'-10';Pink Pillow Nebula
Tr37;21h39.0m;+57°30';Centaurus;Open Cluster;3.8;90';IC1396 (Nebula)
NGC7380;22h47.3m;+58°08';Centaurus;Open Cluster;7.4;20';Caroline Herschel
OMe1;23h40.7m;+07°57';Piscis Austrinus;Asterism;-;15';Alessi J23407 +0757
NGC7789;23h57.5m;+56°43';Carina;Open Cluster;6.6;25';Caroline Herschel
NGC7793;23h57.8m;-32°35';Sagittarius;Galaxy;9.2;9.2'-6.4';Bond's Galaxy
NGC134;00h30.4m;-33°15';Sagittarius;Galaxy;10;7.6'-1.5';Giant Squid Galaxy
NGC1245;03h14.7m;+47°14';Pegasus;Open Cluster;8.4;10';
NGC1300;03h19.7m;-19°25';Equuleus;Galaxy;10.4;5.5'-2.9';
NGC1491;04h03.4m;+51°19';Pegasus;Bright Nebula;-;25'-25';
NGC1514;04h09m;+30°47';Sextans;Planetary Nebula;10.9;2.3'-2.0';
NGC2022;05h42.1m;+09°05';Ophiuchus;Planetary Nebula;11;28'-27';
NGC3114;10h02.7m;-60°06';Capricornus;Open Cluster;4.2;35';
NGC3918;11h50.3m;-57°11';Cassiopeia;Planetary Nebula;8.1;12';
IC4406;14h22.4m;-44°09';Libra;Planetary Nebula;10.3;1.7'-0.6';Retina Nebula
NGC5617;14h29.7m;-60°42';Cassiopeia;Open Cluster;6.3;10';
NGC5846;15h06.5m;+01°36';Vela;Galaxy;10;4.9'-4.4';
NGC5907;15h15.9m;+56°20';Dorado;Galaxy;10.9;11.2'-1.9';Splinter Galaxy
NGC5927;15h28.0m;-50°40';Libra;Globular Cluster;8;6';
IC4603;16h25.6m;-24°28';Octans;Bright Nebula;-;35'-20';
NGC6356;17h23.6m;-17°49';Octans;Globular Cluster;8.2;10';
NGC6388;17h36.3m;-44°44';Sagittarius;Globular Cluster;6.8;10.4';
NGC6664;18h36.5m;-08°11';Scorpius;Open Cluster;7.7;12';
NGC6781;19h18.5m;+06°32';Apus;Planetary Nebula;11.4;1.9'-1.8';Ghost of the Moon
NGC6905;20h22.4m;+20°06';Cygnus;Planetary Nebula;11.1;42'-35';Blue Flash Nebula
NGC6939;20h31.5m;+60°40';Centaurus;Open Cluster;7.8;10';Ghost Bush Cluster
